,sentence
807,여담으로 이렇게 욕을 줄인 것으로 인해 수입이 늘어난 것도 조금 있는 것 같다고
808,웬만한 욕은 넘어가지만 패 드립에는 민감한 편이다.
809,[21] 하지만 중계 방은 관리를 하지 않아 욕설이 난무하는 상황이 생기기도 한다.
810,[22] 하지만 방송 초반 영상들을 보면 육두 문자가 섞인 욕설을 쓰는 경우가 있기는 하다.
811,랭킹이 상승한 이후로는 웬만해서는 욕을 안 쓰려고 노력을 한다고 언급했다.
812,하지만 같은 편의 플레이가 답이 없는 경우에 습관적으로 튀어 나오는 욕은 있다.
813,[23] 욕을 안 하게 된 결정적 계기는 시청자들과 식사를 한 적이 있는데 시청자들 중에 자기보다 나이가 많은 시청자들도 있다는 걸 알았고 그분들이 보는 방송에서 욕설 하는 자신의 모습이 너무 창피했기 때문이라고 한다.
814,[71] 욕하고 싸우고 광고 해도 놔둔다.
815,하지만 BJ가 DOe 라는 본 아이디의 승률에도 어느 정도 욕심이 있는 편이고 도대체 어떻게 한 건지 일회용 아이디마저 따라오는데 성공하는 사람들도 있다.
816,pQq 라는 영어 닉네임에서 진입 장벽을 낮추기 위해 한국어인 피 큐 큐로 닉네임을 변경하였다 방송 초기부터 팬 덤관리를 잘 했기에 채팅 창이 상당히 클린 하다. 큐 피트에 대한 애정이 엄청나다.2019
817,초창기엔 욕을 많이 하고 성격이 괴팍했지만 AVGN 지금은 많이 나아졌다.
818,채팅 창 분위기는 자유로운 편이라서 심한 욕설이 아니면 강 퇴를 하지 않고 블랙도 없다.
819,"그렇게 아프리카 BJ 들과 거리감을 두기 시작하는데 그렇게 KOO TV에서 방송을 시작했고 KOO TV 자칭 클린 MC라고 칭하지만 욕을 안 쓰는 날이 없었다(... )9 월 25일 경, KOO TV 측에서 공식적인 운영 중지에 대한 공지사항을 띄움과 동시에 소속 비제이들 또한 어느 플랫폼으로 이동하여 방송을 재기할지 시청자들의 궁금증을 자아냈다."
820,하지만 대부분의 초딩과 몇몇의 사람들이 쌍 욕을 남발하여 채팅 창 상황이 좋지 않았다.
821,도배야 예사고 모욕적인 아이디를 만들고 별 풍선을 쏘면서 강제로 읽게 하는 경우도 있었다.
822,차라리 많이 라도 쏘던가 심지어 아이 디에 사과 몽이 들어간 몇몇의 사람도 욕을 하였다.
823,[7] 욕을 한 이유는 아프리카 TV를 나가고 왜 다시 돌아왔느냐.
824,"복귀 초기에는 꽤나 고생할 것으로 보였지만, 원래 KOO TV 관련해서 주도적으로 활동한 편도 아니어서 욕할 게 없기도 했었고 GE 인 죄! 사과 몽 다음으로 복귀한 개소주가 KOO TV에서 주도적으로 활동했음에도 시청자와 애청자를 분류하며 자신은 자신의 방송을 보지도 않은 시청자에게는 사과하지 않겠다는 등 제대로 어 그로를 끌어모으면서 빠르게 정상화되었다."
825,하자 타 요가 채팅을 시청자들에게 보여주면서 힘들면 자라고 도발했고 이에 사과 몽이 승부욕이 발생해서 하나도 안 졸리다면서 티격태격 하다가 24 시간 켠 왕 대결을 하기로 했다.
826,"19세 제한을 걸고 있는 욕 없는 욕을 하게 되는 이유가 되기도 하였다... 더 웃긴 건 4월 10일 새벽에 치루어 진 아재 TV BJ 들과의 롤 합동 방송에서의 럼 신을 제외한 다른 BJ 들과의 게임에선 오히려 본인이 오더를 하면서 게임을 승리로 이끌었다는 점. 방송을 처음부터 끝까지 다 보고 있었던 럼 신은 문자 그대로 혼돈, 파괴, 분노. 사과몽의 거주지인 대전이 내일 한반도에서 사라질 것이란 한반도 격쇄 대첩을 발표하기도 하였다"
827,"채팅 창은 매니저를 갈아 넣어서 클린한 편이지만 일종의 "" 선을 넘지 않은"" 어 그로 성 글을 자주 읽기 때문에 이에 따른 물타기가 많은 편이다."
828,이때 감정이 격화되어 반말이나 심하면 욕설을 하기도 하며 언급한 바와 같이 채팅 창의 여론은 그 사람에게 매우 적대적인 상태를 유지하며 욕설과 비난이 엄청난 속도로 도배되게 된다.
829,시청자들의 욕설은 지목 받은 사람이 강 퇴당할 때까지 멈추지 않는다.
830,"또 한 그 사람에 대한 시청자들의 비난 욕설 등을 전부 다 방치하며, 이에 대해 매니저 지목을 당한 시청 자가 채팅으로 조금이라도 비난 조의 채팅을 치면 분위기에 휩쓸린 시청자들과 열혈 팬, 심지어 고정 매니저에게까지 뭇매를 맞고 강 퇴당하게 되며, 제대로 된 해명을 한다 하더라도 같이 편을 들어주는 시청자나 매니저는 거의 없기에 사실상 여기까지 오면 옳고 그름에 관계없이 오직 수천명에게 공개적인 비난과 심지어 귓속말로 패 드립까지 받는 엄청난 수치심과 함께 잘못된 훈 수라며 블랙리스트에 등재되는 결말만 남아 있다."
831,[15] 또한 본인이 시청자들한테 장난스럽게 욕을 하거나 시비를 거는 것에는 관대하지만 막상 시청자들이 본인에게 장난스럽게 시비를 걸거나 훈수를 두면 이를 갈며 심판대에 올려서 갈구거나 블랙을 하는 편이다.
832,그리고 진짜로 했다 석양 드립: 과도한 욕설 훈수 등 타 요의 심기를 거스르는 채팅을 자를 때 나오는 단어이다.
833,실제로 장난감 욕심이 있다 하며 토르의 장난감을 1개 빼앗은 상태라
834,에게 폭로하자 이 사실을 알게 된 타 요가 엔젤 7777에게 카카오톡으로 욕설과 함께 강하게 항의하였다.
835,"마지막엔 분홍상 어가 쓴 글 ' 철 구형 숀셩입니다... 철 구형.. 필독' 과 같은 두 명이 다중이라는 확실한 증거가 나오면서 "" 앞에서는 나한 테 게임 추천하면서 실드 치다가 니가 추천하는 게임 안하니까 다른 계정으로 욕하냐?"
836,는 방송을 켜서 꿀 혜의 ' 회장 99 허 진스' 가 새벽에 도탁스에 쓴 ' 타요를 욕 먹이는 글 '에 대해서 이야기 하면서 99 허 진스의 갑질에 대해서 폭로 했다.
837,"년 1월 무렵부터 는 하스 스톤의 파마기사, 어 그로 주술사 메타에 강한 염증을 느꼈는지 하스 스톤에 굉장히 의욕이 떨어진 모습을 자주 보이다가 공 혁 준, 얍 얍 등의 타 스트 리머들과 시청자들과 합동으로 H1Z1, GTA5 등의 타 게임 방송을 자주 한다."
838,에게 심한 욕을 한 유저와 동일인물 임을 알게 되자 2~3 시간 가량 증거를 밝혀 그를 독 안에 든 쥐로 만들었다.
839,"매니저들은 욕설이나 ' 권력' 들을 이용하여 저급한 채팅을 하였고, 이에 시청자들은 더 화를 내며 채팅 창엔 싸움이 오갔다."
840,"에게 귓속말이나 채팅으로 패 드립, 심한 욕설을 퍼부은 시청자였다."
841,근데 타요랑 기 뉴 다가 자기들은 아프리카랑 계약된 몸이라고 운영자님 들 욕하면 강 티라고 하니까 시청자들이 ' 갓 프리 카' ' 운영자님 사랑합니다
842,월 28일 클린방송을 지향한다면서 쌍 욕이나 욕을 하면 정 발산 등산하고 북한산을 등산한다고 선언 (1 하스 1등 산의 법칙) 인생 최 대의 켠 왕일 수 있는 다이어트 켠 왕을 선언 하였다.
843,길드 마스터는 욕먹는 걸 감수해야 하는 자리이기 때문에 타요
844,는 해당 유저에 대하여 허위사실 유포를 통한 사이버 명예훼손 [113] 죄와 사이버 모욕죄 [114] 등의 사유로 법적 처분을 변호사에게 맡긴 상태이다.1
845,월 8일 정오 경 방송을 켜고 어떤 던 파 유저가 디시 인사이드 스트 리머 갤러리에 ' 나는 던 파 유저는 아니지만 타 요가 던 파 유저를 마녀 사냥하는 게 역겹다 '며 [128] 타 요의 와이프와 아기 등 가족에 대한 입에 담을 수 없을 정도의 심각한 욕설과 타요에 관한 허위사실 [129] 게시물을 다수 작성해서 개념 글에 올려서 유포한 것에 대해 어떻게 해야 될지 참담함을 호소하였다.
846,또 한 어떤 시청자 한 명이 아프리카 방송 방제를 ' 가족 욕하는 던 파 유저.. 어떡할까요 '라고 한 걸 제대로 이해를 못하고 ' 던 파 유저 전체를 욕하는 거냐?
847,는 ' 나는 가족 욕을 하는 던 파 유저를 욕한 거지 모든 던 파 유저를 욕한 게 아니다 '며 ' 던 파 유저 중 일부 유저만 문제가 있는 것이지 [130] [131] 모든 던 파 유저의 잘못이 아니다 '라고 말하였다.
848,"# 이 사건 발생과 동시에 타 요의 개인 카카오톡으로 폭행 협박, 욕설이 무차별적으로 보내"
849,졌고 모 커뮤니티에는 입에 담을 수 없는 욕들이 즐비했다고
850,"는 잠시 오버워치에 접속했다가 채팅으로 자신이 욕설, 협박 등 온갖 어 그로들 때문에 너무 힘들다고"
851,어떻게든 그 사람들을 품어 주려고 별 짓 다 했지만 오히려 욕만 더 먹었다.
852,방 채팅의 경우 인터넷 방송 치고는 매우 클린한 매니저를 갈아 넣은 결과 편에 속하는데 인터넷 방송 특성 상 어 그로 나 비난 적인 채팅이 올라올 수밖에 없다.
853,"다만, 근본적인 원인은 스트리머에게 욕설과 비방을 일삼은 시청자들에게 있음을 잊지 말아야 한다."
854,상대방을 욕해 놓고 그 사람은 방송인이니 그런 것을 당연히 감수해야 한다는 생각은 굉장히 어리석은 생각이다.
855,표림 본인은 평소에는 욕을 잘 쓰지 않는다고
856,"트수들을 보면 욕이 나온다고... 그래서 욕 참기 대결을 했으나 (10 회 이상 욕할 시 12 시간 방송), 트수들의 자본 공세에 완패해 12 시간 방송을 켰다."
857,그러다 트위치 욕심이 나서 리버 레이터 킬 공약을 걸었다.
858,"물론 티배깅을 당한 상대방의 욕설이 따라오는 경우가 많지만 아랑곳하지 않는 듯. 오히려 채팅 창에 ""lol"" 등을 치며 이 상황을 즐기는 듯한 모습을 보였다."
859,"에투샤입니다. [6] 욕 없는 방송, 에 투샤 방송 [7] 포켓 몬스터와 롤, 마인 크래프트, 스카이 림 등의 방송을 주로 하는 아프리카 TV의 파트너 BJ 이다."
860,그 이유는 유 튜브에서 많은 사람들에게 욕을 먹기 때문이라고. 하지만 몇몇 팬들 사이에서는 반응이 의외로 좋다고
861,"녕이루~ 오늘은 뭐 먹지?~ 내 말 들료?... ㅠㅠ# 예쁜 외모와 이녕 특유의 솔직하고 털털한 성격, 재치 있는 입담으로 많은 녕빡이들의 지지를 받고 있으며 시청자가 욕을 해도 화려한 입담으로 받아치며 유머 있는 상황을 만드는 능력이 있다."
862,"시청자들에게 최대한의 자유를 주며, 심한 성적인 욕설, 패 드립이 아닌 이상 특별히 블랙이나 강 퇴를 하지 않는다 요즘은 자신에게 심한 성적인 발언을 하는 것에 상처를 받아 녕 엄령 [12] 을 내리기도 하였으나 계속 너그럽게 받아 주다가 2018년 12월 1일 방송에서 본인에 대한 성적인 발언은 차단을 하겠다고"
863,"지원 영웅을 해야 할 때는 메 르 시만 했으면 하는 바람. 하지만 팟 지 욕심이 있어서 가끔 말아먹기도 한다(...)* 모이라 응징의 날 이벤트를 맞이하여 스트 리머 대전을 하였는데, 이녕이 가 모이라를 맡아서 [30] 플레이 하였다."
864,욕설 누구냐
865,"두 한국인 용병을 각각 감독과 코치로 승격시킨 뒤 센 고쿠 게이밍의 서포터 Raina, 뉴 페이스 한국인 용병 Archer에 변방 리그 생활에 잔뼈가 굵은 정글 용병 Bugi를 영입하는 등 의욕적인 행보를 보이더니 스프링 시즌 3위에 안착했다."
866,"게다가, 적대 인종 여군을 성노예로 만들어 성욕 해소 뿐 아니라 적대국 국민에 대한 굴욕감 심기 및 혼혈 아기를 잉태시켜, 여군들에게 자인 종의 피가 섞인 아이를 낳게 하여 순수한 핏줄을 더럽히는 인종 청소 차원 등에서 사로잡은 쪽 남성 군인에 의한 강간 임신 등 성범죄도 다수 일어나고 있는 판이다."
867,그냥' 이라며 욕을 하다가 7위로 승급하자 기쁨의 춤을 추었다.
868,"제 2 회 무드 컵학교 감싸기 TOPJGLMIDBOTSPT 감 스트 UTG 감 스트 싸 패 UTG Ssasik 학살 UTG 학살기룡이 UTG 기 룡이 애교용 UTG 애 교용감독 마린 코 치쿠 로, 나는 상 윤, 톰, 미아 마우스 Logitech G903 키 보드 Logitech G Pro 마우스 패드 Logitech G640 헤드셋 Logitech G 433 모니터 ASUS 우승 경력 2018 오버 워치 컨 텐 더스 코리아 시즌 2 우승 X6-Gaming→RunAway →RunAway2018 오버 워치 NeXT Cup Summer 우승대회 출범 →RunAway →RunAway2019 오버 워치 리그 스테이지 1 우승 LA 발리 언트→ 밴쿠버 타이 탄 즈→ 샌 프란시스 코 쇼크 2019 오버 워치 리그 정규 시즌 우승 뉴욕 엑셀 시어→ 밴쿠버 타이 탄 즈→ 상 하이 드래곤 즈 준우승 경력 오버 워치 HOT6 APEX 시즌 2 준우승 Afreeca Freecs→RunAway →KONGDOO PANTHERA2017 오버 워치 넥서스 컵 Summer 준우승 X6-Gaming→RunAway →KONGDOO PANTHERA 오버 워치 HOT6 APEX 시즌 4 준우승 KONGDOO PANTHERA→RunAway→ 컨 텐 더스 개편 오버 워치 APAC Premier 2017 준우승 Lunatic-Hai→RunAway→ 대 회 폐지 2019 오버 워치 리그 스테이지 2 준우승 샌 프란시스 코 쇼크→ 밴쿠버 타이 탄 즈→ 샌 프란시스 코 쇼크 2019 오버 워치 리그 그랜드 파이 널 준우승 필라 델 피아 퓨 전→ 밴쿠버 타이 탄 즈→ 미 정 수상 경력 오버 워치 HOT6 APEX 시즌 4 시청자투표 MVP 류 제홍 (Lunatic-Hai)→ 김 효종 (RunAway)→ 컨 텐 더스 개편 2019 오버 워치 리그 올해의 신인상대회 출범→ 김 효종( 밴쿠버 타이 탄 즈)→ 김 경보( 필라델피아 퓨 전 )2019 오버 워치 리그 롤스타 상 DAMAGE 부문대회 출범→ 김 효종 코 리 니 그 라양 진 혁 제이 원→ 김 병선 이재 혁이 선창 김 영 한이 재원 오버 워치 APEX 시즌 1부터 매우 훌륭한 평가를 받은 겐 지 플레이어 중 한 명. 국내에서 뿐 아니라 파리 이터널의 크루즈를 비롯하여 트빅, 타이 무 등 해외 유명 선수들에게 서도 인정받는 실력자이다."
869,"와의 경기에서는 둠 피스트를 주로 픽 하였는데, 성 소 맵에서 완벽한 캐리를 하였으나 마을 맵에서는 토비에게 0 검을 당하는 학살 입장에서는 조금 치욕적인 장면도 있었다."
870,[27 ]5 월 중순경부터 뉴욕 엑셀 시어 이적 설이 강하게 돌고 있다.
871,"뉴욕 선수들 대거 팔로 우를 한 것도 그렇고 새별 비가 쏘톡에 출현했을 때도 안 본 뉴욕 팀원들이 학살의 쏘톡을 봤기 때문. 결국 6월 6일, 뉴욕 엑셀 시 어로의 입단 소식이 발표되었다.19"
872,지난 몇 주간 뉴욕의 브리기테에 대해 말이 많아서 팬들이 우스갯소리로 학살을 브리기테로 쓰는 게 어떻냐고 했는데 그런데 그것이 실제로 일어났습니다.
873,경기는 3대 2로 뉴욕의 패배. 겐 지 메타가 도래한 서 머 쇼다운 첫 경기 항저우 전에서 겐지로 아주 좋은 퍼포먼스를 보여줬다.
874,급기야 3 세트에서는 메이를 들었는데 그 마저도 뉴욕이 제대로 된 공격과 수비를 한번도 하지 못하면서 뭘 하기도 전에 게임이 끝났다.
875,"뉴욕 입단 후 입단 전의 예상과 달리 본인의 겐 지가 러너 웨이, 밴쿠버 때에 비해 아쉬운 모습을 보여주고 있는데, 커뮤니티에서는 크게 2가지가 원인으로 꼽히는 중이다."
876,"첫 번째로, 밴쿠버와 뉴욕의 팀 차이. 학살의 겐지에게 초점을 맞추는 플레이가 러너 웨이 시절부터 몸에 배어 있었지만, 뉴욕은 2년 전부터 쪼낙 중심의 플레이가 배어 있다."
877,"즉 학살과 뉴욕의 컬러가 맞지 않는 게 첫 번째 원인. 뉴욕이 학살의 공격적인 템포에 맞춰서 빠른 템포에 적응하든, 수비적인 뉴욕으로 돌아가 학살이 수비적인 템포에 적응하든 개선이 필요해 보인다."
878,"뉴욕 팬들은 학살, 후 아 유라는 겐 지 거물 2명을 보유한 만큼 겐 지 메타를 기다렸으나, 막상 겐 지 메타가 도래하자 에일 린, 스파 클 등 많은 서브 딜러 선수들이 빠르고 안정적 이면서도 팀과 템포를 맞춰 용 검을 아끼지 않는 플레이를 보여주는 와중 학살은 최근 아쉬운 모습을 보여주고 있는 것이 사실이다."
879,하지만 바로 다음날 이어진 4 강 전에서 겐지와 메이로 나름 본전한 장면도 있었으나 상하이의 체급 차이가 나는 경기력과 팀 합 그리고 뉴욕의 문제점인 솜 브라 견제를 하지 못하고 상하이에게 3대 0 완패를 했다.28
880,주차 서울 전 1 세트에 출전해서 메 이를 플레이했지만 다른 뉴욕 선수들과 마찬가지로 아쉬운 경기력을 보여주고 넨네와 교체되었다.
881,뉴욕 입단 썰 이 한창 돌 때는 후 아 유가 해 주지 못한 겐 지 위주의 폭발력 있는 서브 딜러 역할을 학살이 해 줄 수 있을 것이라는 예상이 많았지만 막상 뉴욕에 와서는 팀의 부진에 학살도 예외가 아닌 상황이다.
882,"여기에 영웅 폭도 문제가 되는데 메이는 갈수록 폼이 떨어지는 모습이고 둠 피스트는 메타에 맞지 않아 아예 꺼내지도 못하기 때문에 겐 지, 둠 피스트, 메이 외에 자신 있게 내세 울 픽이 딱히 없는 학살의 영웅 폭에 의해 겐지가 막혀 버리면 진행 중인 세트 도중에 다른 조합으로 선회할 수 없는 것이 뉴욕의 실정이다."
883,게다가 겐지도 너프를 받고 메타에서 내려왔기 때문에 뉴욕이 학살을 활용하는데 큰 제약이 생겨 버렸다.
884,"뉴욕의 해킹 포커싱도 아쉬웠지만, 학살의 솜 브라 플레이 자체도 아쉬운 모습을 보여주었다."
885,비록 뉴욕의 조합과 전략에도 문제가 많았지만 학살도 기본 적인 솜 브라 숙련도가 떨어져 보이는 장면이 너무나 많았고 부족한 솜 브라 기량으로 많은 비판과 비난을 받았던 지난주보다 개선이 되기는 커 녕 오히려 퇴보한 것 아니냐
886,겐지의 너 프 이후 솜브라가 1 티어 딜러로 기용되는 메타에서 뉴욕의 딜러진 중 누구도 솜 브라로써의 기량이 영 좋지 못하다.
887,는 의견도 많았지만 뉴욕이 준비해 온 전략은 학살의 솜브라와 그의 차선책 겐지밖에 없었는지 끝까지 멤버 교체는 없었다.
888,메이는 뉴욕 입단 초기에 괜찮은 경기력을 보여줬지만 갈수록 감이 떨어졌고 오리사와 시그마가 엄청난 너프를 먹으며 투 방벽이 고인이 되자 메이도 꺼낼 일이 줄어들었다.
889,"시즌 후반 갑작스럽게 꺼내든 솜 브라는 뉴욕 솜 브라 중에서는 가장 나았지만, 그 건 학살이 솜브라를 잘해서 가 아니라 뉴욕의 다른 딜러들이 그보다도 솜브라를 못했다는 표현이 정확할 것이다."
890,"이에 대해 의견은 크게 갈리는 중인데, 먼저 남 탓 하며 팀 분위기 망친 것도 모자 라 남의 여 친을, 그것도 자신의 엄연한 팬을 언급하며 비하했으므로 프로 게이 머 답지 못하다며 비난하는 한편, 또 한쪽은 영상 올린 쪽도 인성이나 원 챔 등 여러 모로 문제가 많기 때문에 (...) 네 가 남 욕할 처지냐며, 양쪽 의견이 대립하는 중이다."
891,"오버 워치 리그에 와서도 논란이 생겼는데 스테이지 1 플레이오프 8 강 전 시작하기 바로 전 북미 서버 경쟁 전 플레이 중 듀오에게 욕설을 퍼부었는데, 그 듀오가 같은 리 거인 상하이 드래곤즈의 감수 [36] 와 띵인 게 밝혀지면서 [37] # 플레이 오프 8 강 전에서 트위치 채팅 방에선 경기에 대한 채팅보다는 학살에게 비난과 비판을 하는 채팅이 매우 많았다."
892,"[39 ]2020 년 1월 21일 방송 분에서는 스카이와 제박 듀오를 상대로 욕설 [40] 을 했는데, 다만 이 행동에는 상대의 잘못이 상당히 컸다."
893,오히려 이런 행동은 고의 방심성 던지기로 취급 받기 쉬운 행동이라 오히려 역으로 비난을 유도하는 형식으로 상대를 화나게 하는 행동 중 하나란 것. 욕설이 적절한 것도 아니지만 이건 제 박과 스카이에게 상당히 큰 잘못이 있다.
894,"같은 팀의 디 바가 무리한 플레이를 하자, 팀 보로 디 바 fuck you 하면서 팀원에게 욕설을 날렸다."
895,"물론, 인기가 많은 선수들은 자연스럽게 안 티도 많아 지는 것이 어쩔 수 없는 현상이 긴 하지만 학살의 경우는 나중에는 팬들조차 도 경쟁 전 욕설 논란에 관해서는 반쯤 포기한 사람들이 굉장히 많아 졌을 정도였다."
896,"프로 초창기에는 "" 아직 미성년 자라 승부욕이 지나쳐 말 실수를 할 수도 있다"", "" 나이를 먹고 프로 경력이 쌓이면서 개선되기를 바란다"" 는 옹호도 많았지만 프로 연차가 충분히 쌓였고 나이도 성인이 됐음에도 불구하고 문제거리를 만들고 다녔었다."
897,방송 도중 같은 팀 멤버인 샤인에게 험한 욕을 한 것으로 밝혀져 다시 인성 논란이 불거졌다.
898,"콕스의 개인 방송에서 러너 팀과 콕스 팀으로 나누어 하 이즈를 하던 도중 러너 팀에 속해 있던 학 살이 콕스 팀의 약점이라 불리우는 샤인에게 제일 먼저 죽자, ' 버스 오지게 타면서', ' 샤인 쓰레기 새끼', 'X 같은 새끼 입 터는 거 지리네' 라는 욕을 트위치 채팅 창에 쳤는데, 문제는 샤인이 학살보다 나이가 많은 형이라는 것이다."
899,설사 나이가 어리더라도 같은 팀원끼리 욕설을 하는 것은 논란이 될 수 있다.
900,"심지어 개발 자가 언급한 FIFA 시리즈와 패스, 모션, AI 등이 전혀 다르게 느껴졌기에 그 정도가 더욱 심한 듯 하다. 모바일 게임 하는 것 같다, 정말로 너무 재미가 없다는 평이 적지 않으며 심지어는 그렇게 욕을 먹은 피 파 온라인 3가 더 재밌다는 평도 더러 있을 정도로 유저들의 반응은 냉담하다."
901,[6] 로블록스 현재 진행형 마인 크래프트 현재 진행형 과거 민 또는 욕을 했었던 영상이 있었다.
902,현재는 클린 하다. 아마도 어린 나이층이 영상을 시청하기 때문에 과거에 욕했던 영상들을 전부 내린 듯 하다 .2019 년 11 월경 구 글 계정 [22] 해킹을 당한 적이 있다.
903,[35] [36] 옛날에 오버워치를 하던 시절 현재도 업 로드 되어 있는 영상 중 욕을 하던 장면이 있는데 이게 현재에 재발굴이 되어서 성격이 귀엽고 항상 웃는 오린 이가 욕도 귀엽게 하는 모습을 보고 많은 시청자들이 욕하는 것도 너무 귀엽게 한다는 반응으로 이 욕하는 모습을 좋아했다.
904,욕을 했던 이 거 왼 시 사건은 현재 오린 이 방송 시청자들의 밈으로 박제가 된 상태이다.
905,"거 왼 시, 이 말 시, 뒤 빼시, 벽 병 새 : "" 거기가 왼쪽이냐고 씨 X!"" 의 약어로 예전 오린 이의 오버 워치 시절, 아군 리퍼에게 왼쪽 위로 올라 가라고 오더했지만 말을 듣지 않자 거기가 왼쪽이 냐며 욕을 했던 영상이 티끌들에게 큰 호응을 얻어 하나의 밈으로 자리잡게 되었다."
906,승리 지향형 플레이 유저 [43] 이며 이 때문에 특별히 크게 파밍과 킬에 욕심을 부리지 않는다.
907,[44] [45] 그래도 욕심을 부리다 죽는 경우도 있지만 욕심이 치킨을 불러올 때도 있다.
908,"거의 무조건 밀 베, 밀 타 ,로 족 중 하나를 가는 편이면서도 파 밍 루트도 전략적으로 정해져 있는 편인데 그만큼 아이템에 큰 욕심을 가지지 않고 전투 후 이동한다.로"
909,"욕 그만 할게요,"
910,부르며 혐오하는 편. 심한 혼모 노 시청자가 보이면 방송에서 수십 분간 욕하면서 화를 풀어서 다른 시청자들까지 눈치보게 하는 일이 많았다.
911,"방송 초기에는 예쁘다, 귀엽다, 사랑한다 등 여 캠 혼모 노가 꺼낼 법한 말을 혐오하고 이런 채팅이 보이면 바로 욕을 했었다."
912,욕설 어 그로를 제외하고도 흐름과 해석에 따라 기분 거슬리는 채팅에 즉각 밴을 때리므로 채팅에 주의를 기울일 필요가 있다.
913,영상을 찍고 보니 어머니가 욕실 유리에 비치는 바람에 2 트를 했다고.
914,"해명을 하였으나 이미 여론은 스트 리머 쪽으로 급격하게 기운 상황이었고, [11] 이에 대해 소니 쇼 본인은 공지로 1) 본인이 욕한 것은 잘못이라고 인정, 2) 오해를 일으킨 사람도 잘못, 3) 끝으로 더 이상 해당 사건에 대해 신경 끄라고 당부했다.2017"
915,"자신과 나 붕 이들이 함께 즐기고 소통할 수 있는 클린한 방송을 지향하며, 종종 어머니도 생방송을 본다고 한다."
916,"물론 저 상태로 방송에서 예능만 챙기려는 건 아니고, 연합원을 적극적으로 지원하여 자신의 안전성을 높이는 등 승부욕 자체는 밀리지 않는 편이다."
917,불화 논란은 사라졌지만 리 타 본인의 이해 타산에 따른 행 보임이 확실시 되어 이득 되는 데로 붙는 박쥐 다라는 모욕을 듣기도 했다.2019
918,년 4 월경 마인 크래프트 스트 리머 전용 서버인 뉴 띵 마을에서 머 독과 디스전이 오가던 중 선을 넘는 욕설들을 하였다.
919,제발요 ..2018.1 .9. 보기 DOA3 [A] 두근두근 문예부 : 컵 케이크 헌 터 2018.1.11. 보기 두근두근 문예부 [44] 웬 떡? 호 노 카랑 팀 먹고 비치 발리 볼 즐기기 2018.1.16. 보기 DOA3 [A] 포켓 몬스터 게임 속 이상한 녀석들 2018.1.19. 보기 포켓 몬스터 금/ 은 [46] [47] 전 세계에 충격을 주었던 공포의 미 연시 2018.1.25. 보기 당신과 그녀와 그녀의 사랑 [48] 제작자 안부가 진심으로 궁금한 함정 게임 2018.2.1. 보기 Trap Adventure 2 정신 병자의 몬스터헌 터 월드 2018.2.8. 보기 몬스터 헌 터: 월드 본격 약 빤 젤 다의 전설 리뷰 2018.2.14. 보기 젤 다의 전설 야생의 숨결 체☆ 키 젤 다의 전설 노 히트로 마왕성 초토화 시키기 2018.2.23. 보기 젤 다의 전설 야생의 숨결 [49] 젤 다 알몸으로 적 능욕하기 ㅋㅋㅋㅋ2018.3 .2. 보기 젤 다의 전설 야생의 숨결 도저히 정상인의 플레이가 아니다 ㄷ ㄷ ㄷ 2018.3.9. 보기 블러 드본 [50] [51] 진심 정신 나간 미친 플레이 ㅋㅋㅋ2018.3 .21. 보기 블러 드본 [52] 직업 군인 친구랑 약 빨고 배틀 그라운드 ㅋㅋㅋㅋㅋㅋㅋ2018.3 .29. 보기 배틀 그라운드 [53] 진짜 ㅋㅋ 이해가 안 가는 게임이다
920,영상은 대부분 자신을 지적하는 시청자들에 대한 조롱과 욕설 그리고 비난으로 이루어져 있다.
921,DFM은 LJL의 1등 팀이기에 그것을 가차 없이 까 내기 위해 한국인을 욕했다는 의견도 있고 그냥 꼴통 혐 한초 딩이라며 비웃는 사람도 있다.
922,"오죽하면 팀 유 튜브 관리자가 "" 상 윤 선수 ( 채팅) 보고 있다면 욕 자제해 주세요"" 라는 채팅을 쳤을 정도. 덕분에 은퇴 식 다시 보기도 지워 졌다."
923,하기야 아프리카에서 포스트 시즌 막차는 타며 나름 행복 롤하던 사람이 어느 순간 자기 없으면 강등권인 팀 멱살 잡고 끌어올려야 하는 위치로 가버린 셈이니 .2020 년 4월 28일 그리핀과의 승강 전 3 세트 중 모 데 카이저 궁극기 와 드문 제로 일시정지가 걸렸을 때 # 노바에게 손가락 욕을 날리는 장면이 카메라에 잡히는 방송사고가 터졌다.
924,"해 설진은 경기장 안에 있는 사람들은 서로 잘 아는 사이라는 식으로 수습하였으나, 이미 전용 준 캐스터, 해설 클 템, 강퀴의 표정은 심각하게 굳어진 상태. 당연히 공식 방송에서 손가락 욕을 직접적으로 했으니 징계까지 논의되었고 상대팀이나 관중에게 날리지 않은 점을 참작하여 서면 경고를 받게 되었으나, 롤 드컵과 오버 워치 리그에서 유사행위에 대한 벌금 징계가 있어서 불공정 징계, 킹 중 갓고라는 평가를 받았다."
925,최근에 왁굳과 함께 작업했었던 로스트 캐슬이 바로 그 극 명한 예시. 하지만 연말 GTA 합방에서 천양이 속한 팀들이 귀신같이 털려 천 필 패라는 굴욕의 타이틀을 얻었다.
926,"재능 충 수준의 피지 컬 과 게임 센스, 강한 승부욕 때문인 듯하다."
